product_name,shop_name,location,price,discount,amount_sold,rating,no_of_rating,link_product
"Sepatu Vans Oldskool Balack White Japan Market 100℅Orginal BNIB - Black White, 35",zildansneakers,Jakarta Selatan,Rp450.000,,Terjual 2,5,(2 ulasan),https://www.tokopedia.com/zildansneakers/sepatu-vans-oldskool-balack-white-japan-market-100-orginal-bnib-black-white-35?whid=0
"SEPATU UKURAN 44 45 46 JUMBO BESAR VANS OLDSCOOL 30 CM - Hitam, 38",aydinasti,Jakarta Selatan,Rp145.000,,Terjual 34,4.8,(15 ulasan),https://www.tokopedia.com/aydinasti/sepatu-ukuran-44-45-46-jumbo-besar-vans-oldscool-30-cm-hitam-38?whid=0
Sepatu Vans Era Classic Save Our Planet White Black Premium BNIB,Shoes of Nada,Jakarta Timur,Rp269.000,,Terjual 6,5,(2 ulasan),https://www.tokopedia.com/shoesofnada/sepatu-vans-era-classic-save-our-planet-white-black-premium-bnib?whid=0
SEPATU VANS OLDSKOOL FLAME WALL BLACK BNIB,Tokojeckstore,Jakarta Selatan,Rp605.000,,Terjual 4,4.7,(3 ulasan),https://www.tokopedia.com/tokojeckstore/sepatu-vans-oldskool-flame-wall-black-bnib?whid=0
SEPATU VANS SLIP ON CUT AND PASTE BLACK TRUE WHITE,sepatulimajkt,Jakarta Timur,Rp350.000,,Terjual 8,5,(6 ulasan),https://www.tokopedia.com/sepatulimajkt/sepatu-vans-slip-on-cut-and-paste-black-true-white?whid=0
"PX Style sepatu kanvas (Vans - 179) - White, 42",One Shopers,Kab. Bekasi,Rp69.999,,Terjual 305,4.8,(53 ulasan),https://www.tokopedia.com/oneshopers/px-style-sepatu-kanvas-vans-179-white-42?whid=0
Sepatu Vans Old Skool PATTA Hitam Original Waffle ICC - 40,toko faahion,Jakarta Utara,Rp610.000,,Terjual 7,4.7,(3 ulasan),https://www.tokopedia.com/idhamkhalid/sepatu-vans-old-skool-patta-hitam-original-waffle-icc-40?whid=0
"Sepatu Vans Oldskool Pro BMX Larry Edgar Black Yellow 100% Original - Hitam, 10",Tambora Stuff,Jakarta Barat,Rp1.899.000,,Terjual 3,5,(3 ulasan),https://www.tokopedia.com/tambora-stuff/sepatu-vans-oldskool-pro-bmx-larry-edgar-black-yellow-100-original-hitam-10?whid=0
"sepatu ukuran 47 46 45 44 Vans old skool hitam ukuran besar Jumbo ! - Hitam, 47",aydinasti,Jakarta Selatan,Rp295.000,,Terjual 29,4.7,(21 ulasan),https://www.tokopedia.com/aydinasti/sepatu-ukuran-47-46-45-44-vans-old-skool-hitam-ukuran-besar-jumbo-hitam-47?whid=0
"Sepatu Vans Vault OG Classic Authentic Black White Ivory BNIB - Black Ivory, 37",sneaker official member,Kota Bandung,Rp275.000,,Terjual 8,5,(8 ulasan),https://www.tokopedia.com/sneakerofficial/sepatu-vans-vault-og-classic-authentic-black-white-ivory-bnib-black-ivory-37?whid=0
"Sepatu Vans Oldskool Black White BNIB - 36, Hitam",UbbayshopID,Kota Bekasi,Rp160.000,,Terjual 202,4.6,(105 ulasan),https://www.tokopedia.com/ubbayshopid/sepatu-vans-oldskool-black-white-bnib-36-hitam?whid=0
THE GOODS DEPT - VANS OLD SKOOL PLATFORM BLACK VN0A3B3UBKA - 42,The Goods Dept,Jakarta Selatan,Rp1.049.000,,Terjual 4,4.7,(3 ulasan),https://www.tokopedia.com/thegoodsdept/the-goods-dept-vans-old-skool-platform-black-vn0a3b3ubka-42?whid=0
Sepatu Vans Authentic 44 DX x Neighborhood X Mr Cartoon ORIGINAL BNIB,Toko Adidas Original,Kota Tangerang Selatan,Rp1.999.000,,Terjual 4,5,(3 ulasan),https://www.tokopedia.com/tokoadidasori/sepatu-vans-authentic-44-dx-x-neighborhood-x-mr-cartoon-original-bnib?whid=0
"sepatu pria Vans OG Fullblack Slip On Big size 39-43 & 44 45 46 - Fullblack, 39",Edumars 88 Shop,Kota Bekasi,Rp147.500,,Terjual 6,4.6,(5 ulasan),https://www.tokopedia.com/edumar-doubleight/sepatu-pria-vans-og-fullblack-slip-on-big-size-39-43-44-45-46-fullblack-39?whid=0
Sepatu Vans Sid DX Anaheim Factory OG Black White UNISEX,GALAXY_SNEAKER_JAKARTA,Jakarta Selatan,Rp549.000,,Terjual 2,5,(2 ulasan),https://www.tokopedia.com/galaxysneakerjak/sepatu-vans-sid-dx-anaheim-factory-og-black-white-unisex?whid=0
Sepatu vans tag size / label size / size chart / vans label size - size wanita,sagayastore official,Kab. Tangerang,Rp5.000,,Terjual 243,4.6,(9 ulasan),https://www.tokopedia.com/sagayastore/sepatu-vans-tag-size-label-size-size-chart-vans-label-size-size-wanita?whid=0
"VANS AUTHENTIC SEPATU SNEAKERS SIZE 46 47 48 49 UKURAN BESAR RAKSASA - Black White, 49",KAKIGEDE,Kota Depok,Rp850.000,,Terjual 32,4.9,(18 ulasan),https://www.tokopedia.com/kakigede/vans-authentic-sepatu-sneakers-size-46-47-48-49-ukuran-besar-raksasa-black-white-49?whid=0
Sepatu Sneakers Unisex Oto Vans Classic Skool White - Red - 38,SmartClick,Kab. Tangerang,Rp179.000,38%,Terjual 2,5,(2 ulasan),https://www.tokopedia.com/smartclick/sepatu-sneakers-unisex-oto-vans-classic-skool-white-red-38?whid=0
"sepatu ukuran 47 46 45 44 Vans Full balck polos ukuran besar jumbo ! - Hitam, 47",aydinasti,Jakarta Selatan,Rp295.000,,Terjual 20,3.7,(13 ulasan),https://www.tokopedia.com/aydinasti/sepatu-ukuran-47-46-45-44-vans-full-balck-polos-ukuran-besar-jumbo-hitam-47?whid=0
"Sepatu Sneakers Pria Vans Old Skool Bw Casual Kets GRATIS 1KAOS KAKI - Hitam, 40",TikhaNaDian Store,Kab. Bandung,Rp55.000,,Terjual 126,4.3,(66 ulasan),https://www.tokopedia.com/tikanadianstore/sepatu-sneakers-pria-vans-old-skool-bw-casual-kets-gratis-1kaos-kaki-hitam-40?whid=0
Sepatu Vans Old Skool Social Distortion Black,WAROENG SNEAKERS,Jakarta Utara,Rp420.000,,Terjual 5,5,(2 ulasan),https://www.tokopedia.com/warsneaks/sepatu-vans-old-skool-social-distortion-black?whid=0
